facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
BIALAWF,Biala,NEM,NSW1,-34.587836,149.369848,GULLRWF2,GULLRWF2,wind,operating,110,107,,110.6223,,2049-12-31T14:00:00+10:00,2020-06-20T12:10:00+10:00,2026-08-01T16:20:00+10:00
BLAYNEY,Blayney,NEM,NSW1,-33.621944,149.198333,BLAYNEY,BLAYNEY,wind,operating,9.9,9.9,,,,2029-12-31T14:00:00Z,,
SNOWY6,Blowering,NEM,NSW1,-35.398563,148.246201,BLOWERNG,BLOWERNG,hydro,operating,80,80,,80.3,,2069-12-31T14:00:00+10:00,2001-08-07T13:50:00+10:00,2026-02-27T12:20:00+10:00
BLUEGSF,Blue Grass,NEM,QLD1,-26.682643,150.504537,BLUEGSF1,BLUEGSF1,solar_utility,operating,183,148,,152.2352,,2056-12-31T14:00:00+10:00,2022-08-01T13:15:00+10:00,2026-08-01T16:20:00+10:00
BLUEWATERS,Bluewaters,WEM,WEM,-33.330601,116.227816,BW2_BLUEWATERS_G1,BW2_BLUEWATERS_G1,coal_black,operating,217,217,,221.3599,,2027-09-30T16:00:00+10:00,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
BLUEWATERS,Bluewaters,WEM,WEM,-33.330601,116.227816,BW1_BLUEWATERS_G2,BW1_BLUEWATERS_G2,coal_black,operating,217,217,,222.5,,2027-09-30T16:00:00+10:00,2013-12-17T08:00:00+10:00,2026-08-01T14:15:00+10:00
BLYTHB,Blyth,NEM,SA1,-33.848475,138.403204,BLYTHB1,BLYTHB1,battery,operating,281,200,400,201.49,,2043-12-31T14:00:00+10:00,2024-09-06T13:55:00+10:00,2026-08-01T16:15:00+10:00
BOCOROCK,Boco Rock,NEM,NSW1,-36.574527,149.124863,BOCORWF1,BOCORWF1,wind,operating,113.18,111,,113,,2039-12-31T14:00:00+10:00,2014-08-29T00:10:00+10:00,2026-08-01T16:20:00+10:00
BODWF,Bodangora,NEM,NSW1,-32.414669,149.099633,BODWF1,BODWF1,wind,operating,113.19,111,,113.4136,,2048-12-31T14:00:00+10:00,2018-08-08T11:40:00+10:00,2026-08-01T16:20:00+10:00
MCKAY,Bogong / Mackay,NEM,VIC1,-36.858282,147.234146,MCKAY1,MCKAY1,hydro,operating,300,300,,312.155,,2056-12-31T14:00:00+10:00,1998-12-07T06:35:00+10:00,2026-08-01T16:20:00+10:00
